City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.92,55.4,35,40,28.86,CL,1603735654
Busselton,-33.65,115.33,55.99,72,6,4.61,AU,1603735655
Vanimo,-2.67,141.3,76.05,75,82,3.13,PG,1603735656
Mayo,38.89,-76.51,59.0,100,90,4.7,US,1603735657
Saint-Philippe,-21.36,55.77,73.4,78,0,3.36,RE,1603735658
Vaini,-21.2,-175.2,71.6,88,20,10.29,TO,1603735659
Bocas del Toro,9.33,-82.25,69.01,87,96,6.64,PA,1603735619
Ushuaia,-54.8,-68.3,59.0,33,40,18.34,AR,1603735662
Menongue,-14.66,17.69,79.39,21,81,0.94,AO,1603735663
Vao,-22.67,167.48,72.97,81,41,15.05,NC,1603735567
Port Elizabeth,-33.92,25.57,64.4,88,90,21.92,ZA,1603735408
New Norfolk,-42.78,147.06,50.0,64,78,1.23,AU,1603735666
Udachny,66.42,112.4,-4.0,91,90,4.47,RU,1603735667
Sosnovo-Ozerskoye,52.52,111.54,18.91,89,14,11.36,RU,1603735670
Garden City,42.33,-83.33,48.99,70,90,9.17,US,1603735385
Codrington,-38.27,141.97,46.47,74,99,12.12,AU,1603735423
Rikitea,-23.12,-134.97,75.38,85,73,18.52,PF,1603735399
Bluff,-46.6,168.33,48.0,87,23,1.99,NZ,1603735674
Salalah,17.02,54.09,80.6,57,0,4.7,OM,1603735658
Atuona,-9.8,-139.03,79.32,72,17,21.83,PF,1603735676
Villa Unión,23.2,-106.23,88.0,66,20,4.09,MX,1603735677
Black Forest,39.01,-104.7,10.0,77,90,9.17,US,1603735679
Bengkulu,-3.8,102.27,75.36,83,100,4.07,ID,1603735681
Longyearbyen,78.22,15.64,21.2,79,75,11.41,SJ,1603735682
Gushi,34.64,109.58,63.66,29,98,1.14,CN,1603735683
Pevek,69.7,170.31,23.56,95,89,10.02,RU,1603735684
Esperance,-33.87,121.9,57.2,87,0,8.05,AU,1603735685
Butaritari,3.07,172.79,81.25,67,99,7.25,KI,1603735687
Pizarro,4.95,-77.37,81.39,79,67,7.34,CO,1603735688
Pangkalanbuun,-2.68,111.62,73.8,95,99,2.53,ID,1603735689
Chui,-33.7,-53.46,60.82,95,100,15.35,UY,1603735690
Port Alfred,-33.59,26.89,65.64,82,100,28.52,ZA,1603735692
Nālūt,30.33,10.85,71.71,22,0,11.1,LY,1603735694
Grindavik,63.84,-22.43,41.0,80,75,18.34,IS,1603735437
Santiago del Estero,-27.8,-64.26,85.64,13,0,6.62,AR,1603735697
George Town,5.41,100.34,77.0,88,20,4.7,MY,1603735698
Chik,54.99,82.43,44.6,81,90,13.42,RU,1603735699
Jamestown,42.1,-79.24,48.0,93,90,6.93,US,1603735508
Hilo,19.73,-155.09,75.2,64,75,7.47,US,1603735401
Uruçuí,-7.23,-44.56,93.67,41,69,2.93,BR,1603735702
Sept-Îles,50.2,-66.38,34.0,59,90,6.93,CA,1603735460
Porto Empedocle,37.29,13.53,61.0,1,4,1.99,IT,1603735704
Lebu,-37.62,-73.65,54.45,66,95,5.57,CL,1603735706
Vila Velha,-20.33,-40.29,80.01,69,40,25.28,BR,1603735448
Albany,42.6,-73.97,48.0,83,100,3.0,US,1603735512
Mataura,-46.19,168.86,48.0,87,29,1.99,NZ,1603735709
Geraldton,-28.77,114.6,55.4,93,40,3.36,AU,1603735710
Qaanaaq,77.48,-69.36,7.84,73,77,9.08,GL,1603735711
Tiksi,71.69,128.87,6.01,93,100,11.01,RU,1603735712
Puerto Ayora,-0.74,-90.35,77.0,73,75,19.46,EC,1603735417
Hithadhoo,-0.6,73.08,83.39,65,0,5.73,MV,1603735714
Sokoto,13.06,5.24,84.36,17,3,5.12,NG,1603735716
Kumul,42.8,93.45,39.56,60,100,2.91,CN,1603735717
Alofi,-19.06,-169.92,68.0,94,90,20.8,NU,1603735718
Hong Kong,22.29,114.16,75.0,82,75,1.01,HK,1603735591
Saskylakh,71.92,114.08,3.65,93,99,5.91,RU,1603735720
Kiryat Gat,31.61,34.76,78.01,100,0,1.99,IL,1603735721
Sandwick,60.0,-1.25,48.2,93,75,4.7,GB,1603735722
Krasnosel'kup,65.7,82.47,0.46,91,0,9.91,RU,1603735723
Ankang,32.68,109.02,57.0,53,100,15.99,CN,1603735725
Kruisfontein,-34.0,24.73,63.0,92,97,7.0,ZA,1603735726
Tuktoyaktuk,69.45,-133.04,6.8,84,75,10.29,CA,1603735727
East London,-33.02,27.91,62.6,93,90,10.29,ZA,1603735728
Barrow,71.29,-156.79,17.6,78,1,2.28,US,1603735550
Raudeberg,61.99,5.14,46.99,89,21,10.78,NO,1603735730
Thinadhoo,0.53,72.93,83.44,68,11,8.55,MV,1603735731
Brigantine,39.41,-74.36,66.2,88,90,4.7,US,1603735732
Avarua,-21.21,-159.78,73.4,78,100,17.22,CK,1603735734
Kavaratti,10.57,72.64,82.69,71,25,5.57,IN,1603735735
Mezen',65.85,44.24,25.23,95,99,11.61,RU,1603735736
Ilulissat,69.22,-51.1,19.4,67,75,5.82,GL,1603735737
Nikolskoye,59.7,30.79,46.99,87,40,6.71,RU,1603735738
Yellowknife,62.46,-114.35,24.8,68,75,8.05,CA,1603735461
Sāveh,35.02,50.36,59.99,32,17,1.63,IR,1603735741
Departamento de Maldonado,-34.67,-54.92,61.0,82,75,13.87,UY,1603735743
Shaunavon,49.65,-108.42,26.8,90,98,11.59,CA,1603735745
Bethel,41.37,-73.41,52.0,87,90,9.17,US,1603735747
Sinnamary,5.38,-52.95,85.93,66,6,10.74,GF,1603735748
Chabahar,25.29,60.64,69.8,46,0,5.1,IR,1603735508
Sabang,5.89,95.32,82.35,76,63,17.96,ID,1603735750
Hermanus,-34.42,19.23,64.0,83,96,4.0,ZA,1603735752
St. George's,12.06,-61.75,86.0,74,20,14.99,GD,1603735753
Mount Isa,-20.73,139.5,69.8,37,23,11.41,AU,1603735754
Anadyr,64.75,177.48,15.8,85,75,4.47,RU,1603735564
Florø,61.6,5.03,50.0,71,75,11.41,NO,1603735756
Tiznit Province,29.58,-9.5,64.4,55,0,7.47,MA,1603735757
Lanxi,29.22,119.48,61.2,85,36,2.91,CN,1603735759
Aykhal,66.0,111.5,-4.0,91,90,4.47,RU,1603735761
Katsuura,35.13,140.3,60.8,72,20,12.75,JP,1603735762
Singapore,1.29,103.85,82.4,83,75,7.2,SG,1603735566
Sitka,57.05,-135.33,51.8,93,90,21.92,US,1603735765
Mahibadhoo,3.78,72.97,82.71,74,29,7.18,MV,1603735766
Padang,-0.95,100.35,78.35,73,98,3.04,ID,1603735767
Souillac,-20.52,57.52,73.4,78,40,11.41,MU,1603735768
Chokurdakh,70.63,147.92,7.99,96,99,10.58,RU,1603735769
Kumba,4.64,9.45,75.56,83,94,2.21,CM,1603735771
Kolno,53.41,21.93,55.4,87,40,6.93,PL,1603735772
Pacific Grove,36.62,-121.92,64.0,18,1,8.05,US,1603735572
Isangel,-19.55,169.27,72.61,80,5,9.01,VU,1603735774
Linfen,36.09,111.52,63.52,29,97,1.7,CN,1603735775
Severo-Kuril'sk,50.68,156.12,42.85,83,99,5.26,RU,1603735776
At-Bashi,41.17,75.81,36.61,69,100,5.08,KG,1603735777
Miyako,39.64,141.95,46.98,72,0,5.35,JP,1603735778
Sola,-13.88,167.55,79.88,82,85,18.81,VU,1603735779
Asilah,35.47,-6.03,62.6,55,0,10.29,MA,1603735728
Dawlatabad,36.41,64.91,49.96,57,0,0.85,AF,1603735782
Rivière du Rempart,-20.1,57.68,73.99,78,40,11.41,MU,1603735783
Dzhebariki-Khaya,62.22,135.8,13.1,90,97,1.16,RU,1603735784
Berlevåg,70.86,29.09,35.6,80,20,16.11,NO,1603735785
Lüderitz,-26.65,15.16,63.12,70,0,21.54,NA,1603735786
Saint George,37.1,-113.58,43.0,25,1,10.92,US,1603735643
Sinjai,-5.12,120.25,75.85,75,97,4.16,ID,1603735789
Yangi Marg`ilon,40.43,71.72,50.0,44,81,6.93,UZ,1603735790
Hobart,-42.88,147.33,50.0,61,90,3.36,AU,1603735496
Dikson,73.51,80.55,13.64,96,100,14.56,RU,1603735792
Manzhouli,49.6,117.43,25.97,88,35,22.86,CN,1603735795
Itarema,-2.92,-39.92,85.14,62,28,16.51,BR,1603735796
Castro,-24.79,-50.01,77.04,56,99,7.94,BR,1603735797
Ponta Delgada,37.73,-25.67,69.8,83,40,18.34,PT,1603735798
Ostrovnoy,68.05,39.51,33.82,90,100,31.16,RU,1603735800
